,open,high,low,close,volume,value
2024-01-31 14:40:00,58937000.0,58963000.0,58936000.0,58936000.0,1.62514779,95792433.02536
2024-01-31 14:41:00,58936000.0,58968000.0,58936000.0,58951000.0,0.35645866,21011574.02938
2024-01-31 14:42:00,58951000.0,58968000.0,58936000.0,58936000.0,1.38456677,81608819.06415
2024-01-31 14:43:00,58951000.0,58969000.0,58937000.0,58951000.0,0.86556646,51026778.5132
2024-01-31 14:44:00,58969000.0,58971000.0,58951000.0,58970000.0,0.30824424,18174005.99266
2024-01-31 14:45:00,58969000.0,58994000.0,58953000.0,58993000.0,2.18838932,129053697.02693
2024-01-31 14:46:00,58981000.0,58993000.0,58959000.0,58993000.0,11.32449039,667751723.02012
2024-01-31 14:47:00,58972000.0,59016000.0,58964000.0,59010000.0,1.82729547,107812132.2392
2024-01-31 14:48:00,59010000.0,59025000.0,58995000.0,59025000.0,0.86888673,51274126.49144
2024-01-31 14:49:00,59021000.0,59027000.0,58963000.0,58980000.0,1.34448663,79336967.13054
2024-01-31 14:50:00,59026000.0,59026000.0,58981000.0,59012000.0,0.63428856,37430414.90145
2024-01-31 14:51:00,59002000.0,59002000.0,58999000.0,59001000.0,0.90295696,53275158.91953
2024-01-31 14:52:00,59002000.0,59002000.0,58999000.0,58999000.0,1.11082193,65538866.1356
2024-01-31 14:53:00,58999000.0,59000000.0,58979000.0,58996000.0,1.22746282,72410297.35802
2024-01-31 14:54:00,58980000.0,58999000.0,58979000.0,58979000.0,1.19175948,70293782.3258
2024-01-31 14:55:00,58979000.0,58995000.0,58977000.0,58980000.0,4.44673256,262271913.15223
2024-01-31 14:56:00,58980000.0,58986000.0,58978000.0,58978000.0,0.87179676,51418137.38061
2024-01-31 14:57:00,58978000.0,58994000.0,58978000.0,58994000.0,0.72617399,42831729.16137
2024-01-31 14:58:00,58994000.0,58995000.0,58990000.0,58994000.0,0.92975715,54848870.87662
2024-01-31 14:59:00,58990000.0,58994000.0,58978000.0,58981000.0,0.80382543,47412323.96911
